日期時間,持續時間,獲得經驗,獲取楓幣,消耗水錢,淨利潤,EXP/時,楓幣/時,置頂
2026-08-01 21:31,02:17:08,41851269,3438654,1085525,2353129,18311201,1504515,0
2026-08-01 11:09,01:01:56,27290630,0,528804,-528804,26431602,0,0
2026-08-01 13:37,01:01:29,21976791,0,529138,-529138,21481522,0,0
2026-08-01 15:18,01:15:50,16735020,0,1801497,-1801497,13240894,0,0
2026-08-01 21:49,00:13:46,0,10,2908,-2898,0,43,0
2026-08-02 00:12,00:49:19,21728428,0,246044,-246044,26435397,0,0
2026-08-02 01:02,00:49:38,21359823,0,278897,-278897,25821142,0,0
2026-08-02 01:33,00:30:50,13436440,0,154368,-154368,26146585,0,0
2026-08-02 01:38,00:03:57,1637001,0,18292,-18292,24865837,0,0
2026-08-02 12:11,01:03:19,37367022,2688484,532596,2155888,35400336,2546984,0
2026-08-02 18:10,01:22:04,44364583,266167,414993,-148826,32435519,194598,0
2026-08-02 20:06,00:26:08,10623200,0,151685,-151685,24390000,0,0
2026-08-02 22:23,02:01:25,48545209,0,744009,-744009,23986103,0,0
2026-08-03 00:26,01:56:26,38681233,0,1039195,-1039195,19933071,0,0
2026-08-03 00:46,00:07:15,1990370,0,62443,-62443,16434247,0,0
2026-08-03 02:16,01:16:37,29653997,91442,568673,-477231,23222621,71610,0
2026-08-03 03:20,00:21:53,133750,0,36227,-36227,366717,0,0
2026-08-03 17:11,01:14:42,33906187,1057012,310208,746804,27233885,849005,0
2026-08-03 20:52,00:23:06,6837810,447317,221952,225365,17760545,1161862,0
2026-08-04 02:43,00:03:32,13890,0,4696,-4696,235867,0,0
2026-08-04 16:09,01:01:08,18018479,423934,802666,-378732,17689262,416188,0
2026-08-04 17:09,00:01:44,5845,0,484,-484,202326,0,0
2026-08-04 17:11,00:01:49,4955,0,1423,-1423,165166,0,0
2026-08-04 17:34,00:01:34,5770,0,3266,-3266,220978,0,0
2026-08-04 19:29,00:21:36,9265475,0,139210,-139210,25737430,0,0
2026-08-04 22:44,00:22:37,8873558,0,163425,-163425,23558118,0,0
2026-08-06 10:07,00:00:18,0,21,0,21,0,3978,0
2026-08-06 11:26,00:01:32,0,2,5803,-5801,0,77,0
2026-08-06 12:06,00:05:02,275100,88384,17701,70683,3290232,1057084,0
2026-08-06 14:14,00:20:20,819000,91,72821,-72730,2416721,268,0
2026-08-06 16:48,00:09:34,1448591,375000,16547,358453,9101095,2356020,0
2026-08-06 20:04,00:15:49,3405354.0,0.0,78733.36666666667,-78733.36666666667,12934693.402232094,0.0,0
2026-08-06 20:18,00:13:43,3006237.0,0.0,71534.5,-71534.5,13152133.688885933,0.0,0
2026-08-06 21:32,00:10:57,2472043,961419620,55977,961363643,13524855,5260046553,0
2026-08-07 01:53,00:02:15,6,0,79,-79,160,0,0
2026-08-07 14:52,00:02:58,0,604188,62,604126,0,12219532,0
2026-08-07 14:59,00:05:36,733874,172538,29755,142783,7862935,1848621,0
2026-08-07 16:12,01:10:34,22274286,3239416,506190,2733226,18938929,2754345,0
2026-08-07 23:26,00:29:36,8119980,54031,308695,-254664,16450156,109460,0
2026-08-08 01:00,01:00:57,25960550,230383,437341,-206958,25555914,226792,0
2026-08-08 03:41,00:02:58,0,492424,261,492163,0,9959137,0
2026-08-08 04:09,00:00:26,0,67667,0,67667,0,9022266,0
2026-08-08 04:13,00:04:09,2000,0,19384,-19384,28800,0,0
2026-08-08 11:00,00:00:43,1,0,0,0,85,0,0
2026-08-08 11:59,00:00:18,880,0,0,0,166736,0,0
2026-08-08 12:43,00:01:24,0,5,5525,-5520,0,211,0
2026-08-08 13:09,00:24:11,10811596,291042,176364,114678,26805609,721591,0
2026-08-08 13:27,00:00:40,1106,0,3303,-3303,99540,0,0
2026-08-08 13:27,00:00:25,198748,0,1799,-1799,28619712,0,0
2026-08-08 13:32,00:05:26,329870,240480,11973,228507,3653944,2663778,0
2026-08-08 13:55,00:00:46,764,0,58,-58,58519,0,0
2026-08-08 13:58,00:02:28,1143360,0,13657,-13657,28000653,0,0
2026-08-08 14:10,00:08:00,3776693,701707,190699,511008,28384331,5273789,0
2026-08-08 14:26,00:14:07,4995990,845458,178257,667201,21234432,3593446,0
2026-08-08 14:36,00:02:12,172772,0,13909,-13909,4747932,0,0
2026-08-08 19:16,00:08:14,0,15070,19915,-4845,0,110044,0
2026-08-08 21:26,00:00:44,130591,0,12876,-12876,10684718,0,0
2026-08-08 22:30,01:04:02,20510632,0,1001502,-1001502,19223711,0,0
2026-08-09 00:09,00:03:12,0,534500,867,533633,0,10074345,0
2026-08-09 00:44,00:05:06,0,811374,46487,764887,0,9545576,0
2026-08-09 00:59,00:06:47,229500,7353,55778,-48425,2025000,64879,0
2026-08-09 08:48,00:08:41,23036,0,658,-658,159173,0,0
2026-08-09 12:32,03:06:30,147624713,15500425,1968808,13531617,47488961,4986286,0
2026-08-09 18:16,01:00:17,44900249,178839,1272651,-1093812,44689216,177998,0
2026-08-09 20:41,01:01:28,45018592,6553257,997448,5555809,43956314,6398623,0
2026-08-09 20:42,00:01:03,334529,0,10647,-10647,19742695,0,0
2026-08-09 23:24,02:11:25,53529135,0,559521,-559521,24442527,0,0
2026-08-09 23:26,00:02:00,52173306642,0,2193,-2193,1552263668687,0,0
2026-08-10 00:08,00:04:00,50000000,0,141,-141,753138075,0,0
2026-08-10 00:19,00:00:32,50,0,5361,-5361,5625,0,0
2026-08-10 00:38,00:02:42,479038,0,23020,-23020,10645288,0,0
2026-08-10 01:02,00:04:17,1863902,34762,40463,-5701,26211121,488840,0
2026-08-10 01:26,00:22:59,10275241,300855,189905,110950,26843880,785978,0
2026-08-10 02:30,01:03:01,36621921,1412607,636363,776244,34878020,1345340,0
2026-08-10 02:42,00:05:03,2746354,10199,36441,-26242,32522613,120777,0
2026-08-10 09:57,00:03:04,390886,0,9975,-9975,7606430,0,0
2026-08-10 10:58,00:59:13,16337724,313004,712419,-399415,16553843,317144,0
2026-08-10 17:05,00:44:19,3233549,0,62001,-62001,4377877,0,0
2026-08-10 18:07,00:55:59,6477914,382795,287364,95431,6942688,410259,0
2026-08-10 21:09,00:11:35,2000,0,2202,-2202,10344,0,0
2026-08-10 21:58,00:22:09,0,633,7971,-7338,0,1715,0
2026-08-10 23:28,01:19:45,60800,0,2956,-2956,45742,0,0
